"sim1","sim2","sim3"
-5.1424318720683,-2.05203171532699,-5.08006269895184
-5.03097187761459,-1.96255010536147,-5.2239290364727
-5.04301587094475,-1.95098987585877,-5.12250374201707
-5.18747985652854,-1.97218209091844,-5.00857321344429
-5.03198962202141,-2.069645950504,-5.11830063941616
-5.08230051835035,-2.23826527329788,-4.81364964866818
-4.8491145889664,-2.35762096850397,-5.26692804979695
-5.34491224181423,-2.14991004539374,-5.42652983933999
-5.30504563041298,-1.90983913447657,-5.54673670670686
-5.34827989596392,-1.94960354970202,-5.17356110791335
5.34144050826961,1.7568514075627,5.12552994707553
5.20047952835246,1.94993714784604,5.02686207605887
5.06555043043257,2.08950737532993,4.96744689292401
5.14655492855392,2.1981675908294,5.11300549760131
5.19198124243345,1.84436514700335,5.15201932559785
5.14242345426424,2.00904350091736,4.82420074932001
5.1906716188826,1.86943757823405,5.0064935036148
4.95920097009427,1.86117176418472,5.41418539845221
4.82442053434394,1.67083194577895,5.10569624024962
4.72340918460683,1.81053829758886,4.69156047508803
-5.26153499394838,-1.97730280885895,-5.36562702146525
-5.40899936493204,-2.01767354253402,-5.33625049381956
-5.0978844148776,-2.02845484149196,-5.20528100128769
-4.89270278994838,-2.03003119212583,-5.26165359745655
-5.15843526315233,-1.96957045761152,-4.86472637963475
-5.28520311217127,-1.92994629562633,-5.06537945182365
-4.97977637720109,-2.18819238040478,-5.25666712780987
-5.20871295810832,-2.05326704756083,-5.34690766364801
-5.34426094498141,-2.08413162515642,-5.35175934404634
-5.49857112695842,-1.98358554299371,-5.38349158120134
5.4179044098933,1.88483655098455,5.16300228719815
5.2160897221398,1.86813067947595,5.17803961877495
5.02944577722705,2.19260432612449,4.98073244031677
5.08622438864661,2.23566686248248,4.9848778139207
4.97569144763759,2.017805581816,5.02178308750604
5.3632832867562,2.07728110147828,5.15321543573334
4.96032149595154,1.85012712776046,5.28776418590803
5.16732770225336,1.97692326652506,5.43155532710388
4.7953697116512,1.99433902704132,5.33629511475046
4.87753979879865,1.79986119471555,5.20308966026098
-5.11809643046259,-1.94447304493327,-5.27468111130827
-5.16005409476061,-1.89418629911507,-5.10378086493555
-4.87372778550698,-2.13577218358998,-5.11571052887936
-5.22619698289864,-1.99026606475465,-5.38736039695139
-5.26766016043493,-1.9160533428489,-4.99362446570812
-4.97076291143879,-1.81921513450235,-5.0600194516373
-5.07144298819117,-1.97991106088223,-5.08135898643789
-5.03693101022693,-2.03322887890107,-5.12715526137339
-4.98838581691125,-1.98535020266156,-5.32400356423908
-5.0837088661816,-1.98316844890991,-5.49217101143373
5.14803990153438,2.17128982942143,5.34129152237737
5.17617071067443,1.80284584927853,5.20762697462171
5.07767225332544,2.01918649088967,5.13143616150096
5.27391604988704,2.04515590316426,5.02014012640255
5.14266202054645,2.05778287835278,5.08026127642394
5.00203178099038,2.11208885697208,5.20202092401573
5.22742545101863,1.93976103517892,4.97009608104696
4.81371906287997,1.92892226352111,5.2520108198103
4.91250478920602,2.077055057991,5.25599245490503
5.24599441306002,2.05641050105414,4.93487562242882
-4.77060339673928,-1.81909069361134,-5.21940412425487
-4.87622793588339,-2.00620642342213,-5.06974678933961
-4.87785877184878,-1.91431157235027,-4.98310570513649
-4.91630901230909,-1.75585835965382,-5.01933698762448
-5.09697264843769,-1.90410827465882,-5.21324613894701
-4.98084927671284,-1.91307285461864,-5.3370290028573
-4.779079059945,-1.81674238685178,-5.29566732332989
-5.07577976829553,-1.93286908795991,-5.34126047762295
-4.9276795057235,-1.8831259049294,-5.36840755277101
-5.02420096749687,-1.60999520201643,-5.51037378154239
5.15078665287997,2.0342750140552,5.16319848691264
5.1521635593424,2.01317589088729,4.8916092322012
4.8539171207815,2.25668278290529,4.97647609170232
4.94989234990408,2.1121383682714,4.80747217036642
5.20808276449142,2.13048465309953,5.16414717886094
5.4329038831695,2.0358242468868,4.9935986321545
4.97123836398231,2.16884329399763,5.13404484186608
5.0203299869351,1.95015945288859,5.14397701812447
4.87956990786796,2.12505693215393,5.0757879639121
4.93677028883932,2.14712070262854,5.20090263130368
-4.96417867542999,-1.89098269609802,-5.10318913170905
-5.10401625293976,-1.83125796706137,-4.87894588796493
-4.76290523581894,-1.92206197199325,-4.98013084894235
-5.03139560897837,-1.94528761441941,-5.27982994423379
-4.8915882184968,-1.95438798791429,-5.2180409276398
-4.83466259701987,-1.82427314951826,-5.25271545899803
-4.93032687463092,-1.86075402284434,-5.40392734799754
-5.01708951264278,-1.60168755979457,-5.28128025306525
-4.79835267249888,-1.61540153968413,-5.37608084088356
-4.79949939031409,-1.55504524573899,-5.4559187473569
5.04010293749589,1.89218061942631,5.08373693151404
5.14280513416098,1.99064232263776,5.12104975057912
4.94234890330975,2.13633189180092,4.9426059970938
5.17122092990124,2.1428727181659,4.93428711323033
5.31212342059469,1.97989864416049,5.15500931947118
5.18256509628944,2.03153733381811,5.25478945790448
4.94906409874538,2.08325741966653,5.0953920763458
4.89296075720653,2.17663459773488,5.08296165377281
4.95632271096742,2.04316728119212,4.99010960255009
4.87847001253572,1.96191222817312,5.19526053474269
-4.90239590763852,-1.6524549186476,-5.32204483141954
-4.709454553421,-1.70078458978138,-5.06659694570775
-5.09574067904693,-2.07512036334367,-5.20211834822731
-5.10845028936206,-2.04592697861012,-4.94283149807826
-4.89098898525167,-1.86965564983546,-5.21058851186739
-5.17649171421685,-1.71702279589605,-5.09501095452026
-5.06542176272107,-1.75164007766989,-5.21683209673196
-5.00267833338541,-1.6505667369219,-5.06771748276526
-4.91399325230113,-1.63158644227864,-5.31017801050692
-4.86548833101459,-1.72605213130168,-5.26427513563107
4.84467512585402,1.76728776346735,5.04219742626551
5.18858449936674,2.00941779564794,5.03169155449262
5.24325413319014,2.09217045300676,4.87501331987067
5.01827526026886,1.8414794555197,5.19536041174323
4.95224851590076,1.7900868261828,5.09718175279157
5.02452574172137,2.067553174895,5.09479675348824
5.17001641572838,2.00751368245884,4.88574547653182
